,ML,loss,Input Num,Input,weight,MAPE train,MAPE test,MAPE val
317,lgb,l2,7,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_addloop']",1,0.02711111,0.061131778,0.06620353
179,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_dot', 'matrix_dotloop']",1,0.02842744,0.06123469,0.065698182
315,lgb,l2,7,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop']",1,0.02842744,0.06123469,0.065698182
19,lgb,l2,5,"['Total Frames', 'Params', 'transfer_all', 'matrix_convloop', 'matrix_dotloop']",1,0.025956695,0.061328963,0.063459443
192,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_dot', 'matrix_dotloop', 'matrix_addloop']",1,0.028973913,0.061338821,0.066077929
326,lgb,l2,7,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_addloop']",1,0.028973913,0.061338821,0.066077929
350,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dotloop', 'matrix_addloop']",1,0.023232962,0.061341489,0.064734639
239,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_convloop', 'matrix_dotloop', 'matrix_addloop']",1,0.023792204,0.06136323,0.063892206
39,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_convloop', 'matrix_dot']",1,0.026988985,0.061391252,0.064541307
305,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_add', 'matrix_addloop']",1,0.028199236,0.061397271,0.06575087
49,lgb,l2,5,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop']",1,0.027413894,0.061460806,0.062877685
47,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_dotloop', 'matrix_addloop']",1,0.025582608,0.061643607,0.062474715
132,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_convloop', 'matrix_dot', 'matrix_addloop']",1,0.026987882,0.061665486,0.069365029
22,lgb,l2,5,"['Total Frames', 'Params', 'transfer_all', 'matrix_dot', 'matrix_dotloop']",1,0.026791757,0.061734299,0.066790425
130,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop']",1,0.026791757,0.061734299,0.066790425
170,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_convloop', 'matrix_add', 'matrix_addloop']",1,0.027737186,0.061751387,0.063078372
279,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.025105371,0.061760847,0.067585753
391,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.025105371,0.061760847,0.067585753
262,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_roundtrip', 'matrix_dot', 'matrix_dotloop', 'matrix_addloop']",1,0.025822549,0.061764712,0.068734808
382,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_addloop']",1,0.025822549,0.061764712,0.068734808
361,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_add', 'matrix_addloop']",1,0.029015154,0.061787879,0.067473118
148,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_addloop']",1,0.026740111,0.06180221,0.065945921
24,lgb,l2,5,"['Total Frames', 'Params', 'transfer_all', 'matrix_dot', 'matrix_addloop']",1,0.027836755,0.061858976,0.067493216
30,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_dot']",1,0.028024739,0.061887409,0.067925077
135,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_convloop', 'matrix_add', 'matrix_addloop']",1,0.02863009,0.061972651,0.066249577
242,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_dot', 'matrix_dotloop', 'matrix_addloop']",1,0.027475139,0.061978247,0.067332027
367,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop', 'matrix_addloop']",1,0.027475139,0.061978247,0.067332027
349,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dotloop', 'matrix_add']",1,0.023057286,0.062029028,0.063468709
292,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot', 'matrix_addloop']",1,0.02808375,0.062068552,0.066297456
161,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dot', 'matrix_addloop']",1,0.028020644,0.062127847,0.065916909
3,lgb,l2,5,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_dot']",1,0.022876052,0.062153203,0.060925765
278,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'matrix_convloop', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.028177498,0.062194805,0.06735146
