,ML,loss,Input Num,Input,MAPE train(%),MAPE val(%),MAPE test(%),Leave One
1686,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",2.90811,3.70569,47.24615,13th corei5 - RTX4070
1687,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",2.53089,3.14054,12.90707,13th corei7 - RTX3060 Ti
1688,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",3.38859,3.96573,6.91468,13th corei5 - RTX3050
1689,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",2.86737,3.33227,23.15053,1th Xeon Gold - GTX1080
1690,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",3.0555,3.57814,112.65566,9th corei7 - RTX2080 Ti
1691,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",2.66319,3.24313,5.93088,13th corei7 - RTX4070
1692,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",8.74635,8.83532,104.22632,13th corei5 - RTX3060 Ti
1693,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",15.46049,17.31767,21.86582,13th corei7 - GTX1080
1694,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",17.51056,18.80967,48.29314,13th corei5 - GTX1650
1695,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",15.30375,16.82204,38.91298,1th Xeon Gold - RTX4070
1696,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",10.39684,12.42997,43.40799,13th corei7 - RTX3050
1697,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",15.34816,17.49658,14.11033,13th corei5 - GTX1080
1698,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",14.88186,17.21629,36.12074,13th corei5 - RTX4070
1699,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",8.95406,11.5507,88.45876,13th corei7 - RTX3060 Ti
1700,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",8.77663,9.59835,49.52155,13th corei5 - RTX3050
1701,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",15.40965,18.11602,19.20499,1th Xeon Gold - GTX1080
1702,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",15.17387,17.45046,39.15388,9th corei7 - RTX2080 Ti
1703,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_architecture', 'VRAM(GB)']",15.05957,17.5324,8.71324,13th corei7 - RTX4070
1704,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.71848,3.17848,23.00935,13th corei5 - RTX3060 Ti
1705,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.78075,3.32915,20.56601,13th corei7 - GTX1080
