,ML,loss,Input Num,Input,Leave One,MAPE train (%),MAPE val (%),MAPE test (%)
583,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei7 - RTX3060 Ti,2.46769,3.02116,10.65067
584,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei5 - RTX3050,2.77118,3.38287,8.81292
585,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",1th Xeon Gold - GTX1080,2.70911,3.33427,14.23785
586,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",9th corei7 - RTX2080 Ti,2.74899,3.25903,25.14537
587,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",13th corei7 - RTX4070,2.57897,3.20646,6.33775
588,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",13th corei5 - RTX3060 Ti,48.1498,50.74547,99.64318
589,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",13th corei7 - GTX1080,52.51383,56.60798,21.45829
590,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",13th corei5 - GTX1650,47.61365,49.29127,48.43252
591,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",1th Xeon Gold - RTX4070,45.34369,47.75998,110.56114
592,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",13th corei7 - RTX3050,45.7708,48.48814,41.22151
593,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",13th corei5 - GTX1080,50.01325,52.00904,16.07456
594,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",13th corei5 - RTX4070,38.80127,40.14501,203.41863
595,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",13th corei7 - RTX3060 Ti,49.88881,48.73721,39.44455
596,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",13th corei5 - RTX3050,49.79163,49.30349,15.98021
597,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",1th Xeon Gold - GTX1080,45.6999,45.99744,45.81375
598,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",9th corei7 - RTX2080 Ti,51.97625,51.21429,32.22083
599,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'cpu_cache(MB)']",13th corei7 - RTX4070,42.14606,42.98318,142.11168
600,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",13th corei5 - RTX3060 Ti,9.88313,9.54421,103.04028
601,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",13th corei7 - GTX1080,15.24546,16.6743,21.7867
602,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",13th corei5 - GTX1650,16.55385,17.79957,49.58257
603,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",1th Xeon Gold - RTX4070,15.87336,17.13978,22.64904
604,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",13th corei7 - RTX3050,10.17502,12.33307,44.03112
605,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",13th corei5 - GTX1080,15.70992,17.81397,54.04027
606,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",13th corei5 - RTX4070,15.74874,17.82609,34.89633
607,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",13th corei7 - RTX3060 Ti,9.43011,11.81434,88.32968
608,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",13th corei5 - RTX3050,9.17082,10.0391,49.52921
609,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",1th Xeon Gold - GTX1080,15.4051,17.80185,24.09636
610,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",9th corei7 - RTX2080 Ti,15.14992,17.40567,123.16206
611,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_architecture']",13th corei7 - RTX4070,15.12082,17.76335,11.74473
612,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",13th corei5 - RTX3060 Ti,4.81012,5.3453,16.13944
613,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",13th corei7 - GTX1080,3.70942,4.33853,17.06866
614,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",13th corei5 - GTX1650,4.93356,5.58748,33.26756
615,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",1th Xeon Gold - RTX4070,4.63946,5.23641,23.56996
616,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",13th corei7 - RTX3050,3.71338,4.47694,14.03117
617,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",13th corei5 - GTX1080,3.75417,4.58887,14.39876
618,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",13th corei5 - RTX4070,4.61548,5.36093,25.06735
619,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",13th corei7 - RTX3060 Ti,4.59771,5.25535,9.62049
620,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",13th corei5 - RTX3050,4.12177,4.73413,14.2126
621,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",1th Xeon Gold - GTX1080,4.95516,5.5703,15.46083
622,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",9th corei7 - RTX2080 Ti,4.90736,5.42819,27.84573
623,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_core']",13th corei7 - RTX4070,4.67202,5.16658,16.22181
624,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3060 Ti,2.69227,3.31252,207.46867
625,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",13th corei7 - GTX1080,15.36454,19.63092,21.57174
626,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1650,2.8702,3.43167,66.08274
627,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",1th Xeon Gold - RTX4070,20.27853,23.85114,23.52712
628,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3050,19.89079,23.89198,13.68798
629,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1080,21.98067,26.10752,16.17958
630,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",13th corei5 - RTX4070,21.03488,25.47023,64.4504
631,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3060 Ti,22.75262,27.02606,81.90879
632,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3050,19.9677,24.40016,6.87076
633,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",1th Xeon Gold - GTX1080,22.33881,26.7001,15.66658
634,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",9th corei7 - RTX2080 Ti,20.61147,25.17164,49.81861
635,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'gpu_boost_clock(GHz)']",13th corei7 - RTX4070,19.41365,24.46651,30.35576
636,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",13th corei5 - RTX3060 Ti,10.77397,10.71564,104.67986
637,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",13th corei7 - GTX1080,17.17874,19.46657,12.93879
638,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",13th corei5 - GTX1650,18.47255,20.44442,43.41495
639,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",1th Xeon Gold - RTX4070,17.87993,19.69881,38.53395
640,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",13th corei7 - RTX3050,16.15477,18.7224,29.18648
641,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",13th corei5 - GTX1080,15.56069,17.87538,21.20725
642,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",13th corei5 - RTX4070,17.59911,20.30298,35.6307
643,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",13th corei7 - RTX3060 Ti,11.79274,14.99969,76.51925
644,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",13th corei5 - RTX3050,16.31366,19.10052,23.78362
645,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",1th Xeon Gold - GTX1080,17.72634,21.00404,18.4938
646,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",9th corei7 - RTX2080 Ti,17.67834,20.83192,49.98145
647,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_thread', 'VRAM(GB)']",13th corei7 - RTX4070,17.8409,21.03841,7.45094
648,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",13th corei5 - RTX3060 Ti,9.1516,8.94632,103.74665
649,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",13th corei7 - GTX1080,15.3021,16.80062,21.3293
650,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",13th corei5 - GTX1650,16.70966,17.9332,48.56839
651,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",1th Xeon Gold - RTX4070,16.15692,17.22666,27.16466
652,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",13th corei7 - RTX3050,10.24907,12.49293,43.92058
653,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",13th corei5 - GTX1080,15.20262,17.48731,25.42252
654,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",13th corei5 - RTX4070,15.07546,17.50833,38.54193
655,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",13th corei7 - RTX3060 Ti,9.60271,11.9801,88.13452
656,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",13th corei5 - RTX3050,9.19554,10.12873,49.51884
657,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",1th Xeon Gold - GTX1080,15.21417,17.69054,23.22347
658,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",9th corei7 - RTX2080 Ti,15.14992,17.40567,123.16206
659,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_architecture']",13th corei7 - RTX4070,15.10474,17.80568,12.38859
660,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",13th corei5 - RTX3060 Ti,4.87925,5.42147,16.86808
661,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",13th corei7 - GTX1080,3.72753,4.35752,17.06897
662,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",13th corei5 - GTX1650,4.94487,5.58917,33.27125
663,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",1th Xeon Gold - RTX4070,4.65531,5.26186,23.52886
664,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",13th corei7 - RTX3050,3.71651,4.4697,13.98817
665,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",13th corei5 - GTX1080,3.72389,4.55436,14.40002
666,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",13th corei5 - RTX4070,4.61237,5.35262,24.52041
667,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",13th corei7 - RTX3060 Ti,4.57359,5.24411,9.43893
668,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",13th corei5 - RTX3050,4.02773,4.62673,14.17583
669,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",1th Xeon Gold - GTX1080,4.9135,5.56173,15.4624
670,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",9th corei7 - RTX2080 Ti,4.90736,5.42819,27.84573
671,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_core']",13th corei7 - RTX4070,4.70794,5.19272,16.2876
672,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3060 Ti,2.69227,3.31252,207.46867
673,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",13th corei7 - GTX1080,15.36454,19.63092,21.57174
674,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1650,2.8702,3.43167,66.08274
675,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",1th Xeon Gold - RTX4070,20.27853,23.85114,23.52712
676,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3050,19.89079,23.89198,13.68798
677,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1080,21.98067,26.10752,16.17958
678,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",13th corei5 - RTX4070,21.03488,25.47023,64.4504
679,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3060 Ti,22.75262,27.02606,81.90879
680,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3050,19.9677,24.40016,6.87076
681,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",1th Xeon Gold - GTX1080,22.33881,26.7001,15.66658
682,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",9th corei7 - RTX2080 Ti,20.61147,25.17164,49.81861
683,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)']",13th corei7 - RTX4070,19.41365,24.46651,30.35576
684,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",13th corei5 - RTX3060 Ti,10.74842,10.68812,104.67511
685,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",13th corei7 - GTX1080,17.22083,19.52138,12.89001
686,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",13th corei5 - GTX1650,18.47255,20.44442,43.41495
687,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",1th Xeon Gold - RTX4070,17.91204,19.70627,38.48835
688,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",13th corei7 - RTX3050,16.21466,18.83128,29.11144
689,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",13th corei5 - GTX1080,15.9806,18.07551,21.42738
690,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",13th corei5 - RTX4070,17.30133,20.16694,34.94247
691,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",13th corei7 - RTX3060 Ti,11.825,15.04186,76.50637
692,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",13th corei5 - RTX3050,16.26547,19.10104,23.90043
693,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",1th Xeon Gold - GTX1080,17.73796,21.01295,18.6528
694,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",9th corei7 - RTX2080 Ti,17.67834,20.83192,49.98145
695,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'cpu_cache(MB)', 'VRAM(GB)']",13th corei7 - RTX4070,17.8368,21.04416,7.41935
696,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",13th corei5 - RTX3060 Ti,2.7711,3.20246,15.39114
697,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",13th corei7 - GTX1080,2.751,3.27752,20.00535
698,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",13th corei5 - GTX1650,2.87408,3.49742,33.64618
699,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",1th Xeon Gold - RTX4070,2.52657,3.09801,23.93552
700,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",13th corei7 - RTX3050,2.84558,3.60115,9.78405
701,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",13th corei5 - GTX1080,2.51679,3.22359,16.01395
702,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",13th corei5 - RTX4070,2.5246,3.27332,24.37714
703,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",13th corei7 - RTX3060 Ti,2.55381,3.16741,8.65474
704,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",13th corei5 - RTX3050,2.82988,3.45985,3.69871
705,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",1th Xeon Gold - GTX1080,2.73998,3.44871,22.72137
706,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",9th corei7 - RTX2080 Ti,2.66224,3.25215,24.8332
707,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_core']",13th corei7 - RTX4070,2.59776,3.08304,15.836
708,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3060 Ti,2.96833,3.38401,149.31636
709,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",13th corei7 - GTX1080,2.72292,3.30203,21.67233
710,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1650,2.90765,3.4337,62.63597
711,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",1th Xeon Gold - RTX4070,2.51438,3.308,31.05222
712,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3050,3.15083,4.22813,7.42847
713,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",13th corei5 - GTX1080,2.6025,3.31138,24.48338
714,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",13th corei5 - RTX4070,2.65281,3.48751,47.66737
715,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",13th corei7 - RTX3060 Ti,2.47658,3.03618,10.93985
716,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",13th corei5 - RTX3050,3.20157,3.70888,5.71507
717,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",1th Xeon Gold - GTX1080,2.91798,3.36425,23.71537
718,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",9th corei7 - RTX2080 Ti,3.0555,3.57814,123.57901
719,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'gpu_boost_clock(GHz)']",13th corei7 - RTX4070,2.83984,3.49687,5.94256
720,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'VRAM(GB)']",13th corei5 - RTX3060 Ti,8.60872,8.59533,104.37028
721,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'VRAM(GB)']",13th corei7 - GTX1080,15.34774,17.25944,21.99052
722,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'VRAM(GB)']",13th corei5 - GTX1650,17.42394,18.83048,48.23863
723,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'VRAM(GB)']",1th Xeon Gold - RTX4070,15.43534,16.96616,39.13374
724,lgb,l2(rmse),5,"['Total Frames', 'Params', 'cpu_boost_clock(GHz)', 'gpu_architecture', 'VRAM(GB)']",13th corei7 - RTX3050,10.30209,12.3811,43.4425
