Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s)
frame2000_13,2000,540,960,518400,1358.6872491836548,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.535428047180176
frame2000_14,2000,360,640,230400,752.9554786682129,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.235835552215576
frame2000_15,2000,360,640,230400,697.5388469696045,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,31.45757031440735
frame2000_2,2000,360,640,230400,689.4442510604858,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,31.65216326713562
frame2000_3,2000,360,640,230400,498.7122249603271,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.07209825515747
frame2000_4,2000,360,640,230400,1002.6228094100952,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.7281596660614
frame2000_5,2000,360,640,230400,520.5027675628662,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.08161449432373
frame2000_6,2000,720,1280,921600,4030.43500995636,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,34.297348976135254
frame2000_7,2000,360,640,230400,521.232232093811,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.23750853538513
frame2000_8,2000,360,640,230400,532.4802484512329,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,31.919371843338013
frame2000_9,2000,720,1280,921600,3432.654037475586,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,34.956140995025635
frame2500_0,2500,720,1280,921600,2091.3344650268555,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,41.9489848613739
frame2500_1,2500,540,960,518400,1783.1333808898926,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,42.35620832443237
frame2500_10,2500,360,640,230400,649.2635126113892,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,39.67978811264038
frame2500_11,2500,720,1280,921600,2413.662410736084,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,43.42269825935364
frame2500_12,2500,360,640,230400,1079.292576789856,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,49.14310598373413
frame2500_13,2500,360,640,230400,1024.8082933425903,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,40.75844168663025
frame2500_14,2500,720,1280,921600,4094.88050365448,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,42.9604070186615
frame2500_15,2500,540,960,518400,319.0746965408325,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,39.82795596122742
frame2500_16,2500,720,1280,921600,3324.8714685440063,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,44.57573580741882
frame2500_17,2500,360,640,230400,897.2026824951172,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,39.47978234291077
frame2500_18,2500,360,640,230400,589.4090147018433,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,39.45112633705139
frame2500_19,2500,720,1280,921600,2667.2008714675903,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,44.40873956680298
frame2500_2,2500,720,1280,921600,2681.4116468429565,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,43.536030769348145
frame2500_3,2500,360,640,230400,850.7514562606812,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,40.17371988296509
frame2500_4,2500,720,1280,921600,3399.737826347351,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,54.63932156562805
frame2500_5,2500,360,640,230400,898.2702703475952,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,40.09697389602661
frame2500_6,2500,360,640,230400,974.457657814026,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,40.80584931373596
frame2500_7,2500,540,960,518400,2782.7661180496216,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,40.990601539611816
frame2500_8,2500,720,1280,921600,4043.290994644165,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,43.31881833076477
frame2500_9,2500,360,640,230400,758.8090829849243,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,40.49821496009827
frame3000_0,3000,360,640,230400,905.256414413452,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,48.31744575500488
frame3000_1,3000,720,1280,921600,4863.190195083618,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,51.946651458740234
frame3000_10,3000,360,640,230400,1485.8515892028809,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,48.40669107437134
frame3000_11,3000,360,640,230400,1938.386343002319,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,48.73801159858704
frame3000_12,3000,720,1280,921600,10298.69733428955,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,52.386441469192505
frame3000_13,3000,540,960,518400,4433.069942474365,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,49.36970114707947
frame3000_14,3000,360,640,230400,1156.8303203582764,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,47.390042781829834
frame3000_15,3000,720,1280,921600,4848.314455032349,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,50.8428955078125
frame3000_2,3000,360,640,230400,1054.5900554656982,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,48.83389091491699
frame3000_3,3000,360,640,230400,1039.3170471191406,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,47.85940861701965
frame3000_4,3000,720,1280,921600,4531.257173538208,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,51.88679599761963
frame3000_5,3000,540,960,518400,2610.4615926742554,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,59.60635590553284
frame3000_6,3000,360,640,230400,941.1938095092772,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,48.782331705093384
frame3000_7,3000,360,640,230400,1407.769700050354,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,48.68494176864624
frame3000_8,3000,360,640,230400,1004.7202472686768,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,48.96393036842346
frame3000_9,3000,720,1280,921600,2228.889018058777,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,49.68838930130005
frame3500_0,3500,720,1280,921600,5775.872780799866,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,60.121485233306885
frame3500_1,3500,720,1280,921600,4805.743712425232,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,61.95188021659851
frame3500_10,3500,360,640,230400,1050.0495433807373,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,55.59592127799988
frame3500_2,3500,720,1280,921600,5789.719665527344,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,60.78655552864075
frame3500_3,3500,720,1280,921600,5747.368581771851,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,61.322264432907104
frame3500_4,3500,540,960,518400,2238.873207092285,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,58.17675232887268
frame3500_5,3500,720,1280,921600,4769.266528129578,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,63.74079132080078
frame3500_6,3500,360,640,230400,1480.9324951171875,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,72.38585138320923
frame3500_7,3500,540,960,518400,3085.3826293945312,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,56.98402714729309
frame3500_8,3500,360,640,230400,1310.9215364456177,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,56.659546852111816
frame3500_9,3500,720,1280,921600,5539.414231300354,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,60.21620488166809
frame4000_0,4000,720,1280,921600,5543.311743736267,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,70.37201523780823
frame4000_1,4000,360,640,230400,1780.361890792847,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,64.22642040252686
frame4000_2,4000,360,640,230400,1417.003812789917,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,62.86492919921875
frame4000_3,4000,360,640,230400,1053.2174882888794,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,62.59633445739746
frame4000_4,4000,720,1280,921600,4160.852443695068,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,72.1717677116394
frame4000_5,4000,360,640,230400,1361.965413093567,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,65.58547306060791
frame4500_0,4500,540,960,518400,2751.66600894928,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,73.34373664855957
