Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),cpu_core,cpu_boost_clock(GHz),cpu_thread,cpu_cache(MB),gpu_architecture,gpu_core,gpu_boost_clock(GHz),VRAM(GB)
frame3000_15,3000,720,1280,921600,4848.314455032349,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.426687240600586,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_2,3000,360,640,230400,1054.5900554656982,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.731085777282715,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_3,3000,360,640,230400,1039.3170471191406,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.5992579460144,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_4,3000,720,1280,921600,4531.257173538208,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.405874490737915,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_5,3000,540,960,518400,2610.4615926742554,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.77414655685425,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_6,3000,360,640,230400,941.1938095092772,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.50694465637207,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_7,3000,360,640,230400,1407.769700050354,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.633153200149536,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_8,3000,360,640,230400,1004.7202472686768,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.80288743972778,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3000_9,3000,720,1280,921600,2228.889018058777,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.50197100639343,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3500_0,3500,720,1280,921600,5775.872780799866,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,46.889392614364624,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3500_1,3500,720,1280,921600,4805.743712425232,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,46.72255730628967,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3500_10,3500,360,640,230400,1050.0495433807373,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,46.29689359664917,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame3500_2,3500,720,1280,921600,5789.719665527344,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,46.95156884193421,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
