,Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),transfer_all,transfer_continuous,transfer_roundtrip,matrix_conv,matrix_convloop,matrix_dot,matrix_dotloop,matrix_add,matrix_addloop
356,frame3000_13,3000,540,960,518400,4433.069942474365,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,65.74465799331665,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
292,frame0500_1,500,720,1280,921600,599.6991939544678,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,10.579403400421144,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
411,frame1500_9,1500,360,640,230400,617.8049640655518,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,31.12643837928772,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
560,frame3000_9,3000,720,1280,921600,2228.889018058777,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,491.2461245059967,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
477,frame4000_2,4000,360,640,230400,1417.003812789917,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,83.68828511238098,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
333,frame2500_10,2500,360,640,230400,649.2635126113892,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,55.20185589790344,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
396,frame1000_4,1000,338,640,216320,218.37547492980957,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,21.44950246810913,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
423,frame2000_5,2000,360,640,230400,520.5027675628662,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,42.59333348274231,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
370,frame3500_2,3500,720,1280,921600,5789.719665527344,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,75.91830062866211,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
308,frame1500_3,1500,360,640,230400,537.905837059021,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,32.39613080024719,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
554,frame3000_3,3000,360,640,230400,1039.3170471191406,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,486.16398453712463,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
523,frame2000_8,2000,360,640,230400,532.4802484512329,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,328.0599431991577,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
329,frame2000_8,2000,360,640,230400,532.4802484512329,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,44.254104137420654,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
424,frame2000_6,2000,720,1280,921600,4030.43500995636,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,43.60950589179993,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
344,frame2500_3,2500,360,640,230400,850.7514562606812,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,54.85235929489136,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
549,frame3000_12,3000,720,1280,921600,10298.69733428955,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,489.7437326908112,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
419,frame2000_15,2000,360,640,230400,697.5388469696045,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,41.75722789764404,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
319,frame2000_12,2000,720,1280,921600,1324.1342267990112,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.59661245346069,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
474,frame3500_9,3500,720,1280,921600,5539.414231300354,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,76.34345316886902,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
454,frame3000_14,3000,360,640,230400,1156.8303203582764,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,62.92086243629456,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
442,frame2500_4,2500,720,1280,921600,3399.737826347351,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,66.664968252182,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
535,frame2500_18,2500,360,640,230400,589.4090147018433,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,408.83238768577576,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
